epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.751,1.3712,2.97676,1.51308,0.02428,0.60424,0.28225,0.18351,1.18254,3.35187,1.41437,0.0003125,0.0003125,0.0003125
2,493.559,1.30062,1.68125,1.40022,0.90045,0.21364,0.56538,0.32745,1.34147,2.97344,1.5411,0.000624877,0.000624877,0.000624877
3,740.424,1.2937,1.50309,1.40873,0.7218,0.34497,0.6397,0.3346,1.4507,2.98405,1.69733,0.000924385,0.000924385,0.000924385
4,984.954,1.2603,1.37053,1.36101,0.648,0.51092,0.63361,0.33349,1.59598,2.63077,1.76521,0.00117575,0.00117575,0.00117575
5,1223.1,1.24586,1.268,1.37272,0.76497,0.72578,0.84694,0.45193,1.53095,1.73487,1.80035,0.001151,0.001151,0.001151
6,1461.06,1.1907,1.20804,1.32448,0.68884,0.79525,0.79965,0.47811,1.37515,1.59593,1.62416,0.00112625,0.00112625,0.00112625
7,1715.74,1.18259,1.16834,1.32398,0.80878,0.68564,0.81566,0.49904,1.3152,1.52509,1.4352,0.0011015,0.0011015,0.0011015
8,1971.83,1.19091,1.12997,1.30436,0.79605,0.71823,0.78072,0.49352,1.31454,1.54466,1.49163,0.00107675,0.00107675,0.00107675
9,2219.05,1.1655,1.11633,1.31286,0.85435,0.88029,0.86491,0.49983,1.41821,1.32362,1.53305,0.001052,0.001052,0.001052
10,2471.18,1.14066,1.04605,1.27859,0.88367,0.83246,0.84239,0.50161,1.37825,1.30566,1.54245,0.00102725,0.00102725,0.00102725
11,2726.81,1.10442,0.99434,1.27081,0.81359,0.85882,0.87826,0.50615,1.41786,1.24694,1.54793,0.0010025,0.0010025,0.0010025
12,2984.29,1.08387,0.94918,1.2317,0.87641,0.79286,0.87023,0.53924,1.34184,1.18133,1.50722,0.00097775,0.00097775,0.00097775
13,3613.66,1.0715,0.9395,1.24477,0.82534,0.82034,0.8807,0.54797,1.36409,1.15201,1.50275,0.000953,0.000953,0.000953
14,3851.6,1.04708,0.89425,1.22679,0.85776,0.84205,0.92592,0.56606,1.28943,1.1082,1.49765,0.00092825,0.00092825,0.00092825
15,4076.53,1.02866,0.86745,1.21773,0.8984,0.84971,0.88797,0.54956,1.30931,1.0882,1.49067,0.0009035,0.0009035,0.0009035
16,4306.06,1.01277,0.85895,1.21775,0.8902,0.87266,0.90164,0.56958,1.28087,0.99257,1.42823,0.00087875,0.00087875,0.00087875
17,4536.42,1.02378,0.83547,1.19247,0.85811,0.86293,0.89501,0.54453,1.38422,1.06361,1.48845,0.000854,0.000854,0.000854
18,4766.71,1.02086,0.81163,1.19297,0.9154,0.88131,0.93051,0.55815,1.34113,0.99201,1.4585,0.00082925,0.00082925,0.00082925
19,4986.32,0.98695,0.7948,1.19268,0.93396,0.89082,0.9375,0.60238,1.20852,0.89792,1.39672,0.0008045,0.0008045,0.0008045
20,5204.11,1.00621,0.77542,1.17834,0.8862,0.89446,0.91721,0.57068,1.2434,0.9474,1.38972,0.00077975,0.00077975,0.00077975
21,5413.83,0.98831,0.77432,1.17414,0.92141,0.91196,0.94047,0.56749,1.28861,0.90558,1.47498,0.000755,0.000755,0.000755
22,5640.67,0.98313,0.73581,1.17494,0.93202,0.87245,0.91008,0.59194,1.20988,0.91921,1.43758,0.00073025,0.00073025,0.00073025
23,5859.92,0.95952,0.73751,1.15697,0.90916,0.91214,0.9414,0.63356,1.15452,0.82407,1.34617,0.0007055,0.0007055,0.0007055
24,6087.39,0.94384,0.71514,1.14854,0.87917,0.9006,0.91441,0.58031,1.21496,0.87637,1.39008,0.00068075,0.00068075,0.00068075
25,6314.46,0.95055,0.71208,1.15554,0.88973,0.89834,0.92284,0.60321,1.21109,0.80423,1.38269,0.000656,0.000656,0.000656
26,6571.49,0.92035,0.69407,1.14358,0.92267,0.86456,0.9071,0.59019,1.17508,0.84904,1.37159,0.00063125,0.00063125,0.00063125
27,6804.28,0.90936,0.67082,1.12858,0.91764,0.85346,0.91051,0.58829,1.21192,0.80424,1.40469,0.0006065,0.0006065,0.0006065
28,7063.25,0.90506,0.67195,1.12506,0.90641,0.8494,0.93059,0.6046,1.21463,0.84436,1.3785,0.00058175,0.00058175,0.00058175
29,7374.58,0.86751,0.65538,1.12397,0.92359,0.88584,0.92449,0.56861,1.29572,0.85526,1.45725,0.000557,0.000557,0.000557
30,8041.93,0.88342,0.64546,1.11161,0.92599,0.86673,0.92947,0.57972,1.269,0.80948,1.41383,0.00053225,0.00053225,0.00053225
31,8350.71,0.86965,0.63132,1.11542,0.94789,0.86162,0.91805,0.59527,1.25214,0.84332,1.41412,0.0005075,0.0005075,0.0005075
32,8640.89,0.84894,0.62315,1.09674,0.92311,0.88415,0.93897,0.60157,1.24663,0.80953,1.36972,0.00048275,0.00048275,0.00048275
33,8870.28,0.83376,0.60427,1.10573,0.8896,0.89706,0.93514,0.61187,1.22258,0.77565,1.3917,0.000458,0.000458,0.000458
34,9096.9,0.83617,0.60087,1.08801,0.94901,0.87546,0.9266,0.60164,1.25647,0.77719,1.41897,0.00043325,0.00043325,0.00043325
35,9314.95,0.81292,0.58919,1.08551,0.91506,0.87475,0.9254,0.59247,1.2415,0.79735,1.39884,0.0004085,0.0004085,0.0004085
36,9537.77,0.82756,0.59092,1.08756,0.93651,0.88845,0.93987,0.61782,1.18352,0.74033,1.3885,0.00038375,0.00038375,0.00038375
37,9756.55,0.81237,0.57369,1.07503,0.95295,0.89207,0.93669,0.61861,1.22854,0.74037,1.39585,0.000359,0.000359,0.000359
38,9984.4,0.79902,0.574,1.0839,0.94928,0.8902,0.93734,0.60356,1.21385,0.721,1.37296,0.00033425,0.00033425,0.00033425
39,10208.5,0.79969,0.56562,1.06538,0.95615,0.8834,0.93728,0.6245,1.16407,0.70615,1.33607,0.0003095,0.0003095,0.0003095
40,10429.9,0.77498,0.54471,1.06581,0.94727,0.87859,0.92194,0.59912,1.27477,0.72988,1.4202,0.00028475,0.00028475,0.00028475
41,10642.7,0.76867,0.56399,1.04996,0.93904,0.92124,0.93987,0.62256,1.17822,0.71573,1.39164,0.00026,0.00026,0.00026
42,10866.3,0.73932,0.52204,1.02546,0.94514,0.89783,0.9388,0.62295,1.15031,0.72187,1.35983,0.00023525,0.00023525,0.00023525
43,11087.9,0.72021,0.50421,1.02507,0.9448,0.89834,0.9279,0.63943,1.12071,0.70515,1.34631,0.0002105,0.0002105,0.0002105
44,11332.4,0.72366,0.49743,1.03348,0.93629,0.89796,0.9402,0.63224,1.17785,0.71912,1.36247,0.00018575,0.00018575,0.00018575
45,11585.5,0.71375,0.48767,1.0176,0.91488,0.93096,0.94459,0.63168,1.17081,0.67157,1.36191,0.000161,0.000161,0.000161
46,12286.4,0.66731,0.46644,0.99515,0.9338,0.93527,0.94613,0.64244,1.13064,0.6456,1.34652,0.00013625,0.00013625,0.00013625
47,12504.5,0.68314,0.46896,1.00036,0.94082,0.91704,0.94621,0.64711,1.1416,0.6605,1.34922,0.0001115,0.0001115,0.0001115
48,12727.3,0.67898,0.46351,1.00568,0.95636,0.91326,0.94386,0.64461,1.16945,0.67273,1.36547,8.675e-05,8.675e-05,8.675e-05
49,12955.6,0.64494,0.44642,0.98567,0.96002,0.91306,0.94739,0.64342,1.16753,0.66269,1.36743,6.2e-05,6.2e-05,6.2e-05
50,13178.2,0.65233,0.44332,0.99011,0.95965,0.91178,0.94912,0.64402,1.16034,0.65979,1.36781,3.725e-05,3.725e-05,3.725e-05
